hurricane_storm_name,date_start,date_end,number_of_deaths,list_of_areas_affected
Hurricane Agatha,June 2,June 5,0,['Pacific Ocean']
Tropical Storm Bridget,June 27,July 3,0,['Pacific Ocean']
Hurricane Carlotta,July 2,July 11,0,['Pacific Ocean']
Hurricane Denise,July 4,July 15,0,['Mexico']
Tropical Storm Eleanor,July 10,July 12,0,['Manzanillo']
Tropical Storm Francene,July 27,July 30,0,['Pacific Ocean']
Tropical Storm Georgette,August 11,August 14,0,['Pacific Ocean']
Tropical Storm Hilary,August 13,August 17,0,['Pacific Ocean']
Hurricane Ilsa,August 18,August 26,0,['Pacific Ocean']
Hurricane Jewel,August 24,August 31,0,['Pacific Ocean']
Hurricane Katrina,August 29,September 7,0,['Socorro Island']
Unnamed Hurricane,August 31,September 5,0,['Pacific Ocean']
Hurricane Lily,September 16,September 21,0,['Socorro Island']
Tropical Storm Monica,September 28,October 2,0,['Pacific Ocean']
Tropical Storm Nanette,September 28,October 4,0,['Pacific Ocean']
Hurricane Olivia,October 22,October 25,30,['Mazatlán']
Tropical Storm Priscilla,November 2,November 7,0,['Pacific Ocean']
